,source,target
1400,469,743
1401,470,4865
1402,470,4775
1403,471,8586
1404,471,1238
1405,471,6263
1406,472,5428
1407,472,7708
1408,472,7747
1409,473,2591
1410,473,5493
1411,474,1512
1412,474,8099
1413,475,8215
1414,475,3444
1415,475,7302
1416,476,2469
1417,476,6840
1418,477,3184
1419,477,6944
1420,477,477
1421,478,4567
1422,478,7834
1423,479,8912
1424,479,3593
1425,479,2745
1426,479,3139
1427,480,5686
1428,480,4304
1429,481,1180
1430,481,3437
1431,482,5117
1432,482,8643
1433,483,6735
1434,483,8407
1435,483,1135
1436,484,1717
1437,484,8490
1438,485,2316
1439,485,8416
1440,485,8940
1441,486,1675
1442,486,712
1443,486,1297
1444,486,3686
1445,487,8296
1446,487,4464
1447,487,8496
1448,488,4787
1449,488,3429
1450,488,4788
1451,488,6792
1452,488,5525
1453,488,1447
1454,489,528
1455,489,1575
1456,489,904
1457,490,3365
1458,490,490
1459,491,5235
1460,491,2545
1461,492,1337
1462,492,7310
1463,492,869
1464,492,9001
1465,493,7851
1466,494,3902
1467,495,888
1468,495,6702
1469,495,7795
1470,495,8596
1471,495,8349
1472,495,4875
1473,496,7984
1474,496,6519
1475,496,5410
1476,496,3302
1477,496,6756
1478,497,1709
1479,497,4789
1480,497,5121
1481,498,7845
1482,498,4908
1483,499,8561
1484,499,5874
1485,500,9129
1486,500,5780
1487,500,4074
1488,501,1916
1489,501,1196
1490,502,3455
1491,502,4061
1492,502,7299
1493,502,7301
1494,503,9085
1495,503,2340
1496,503,5088
1497,503,7603
1498,504,8026
1499,504,8848
1500,505,1632
1501,505,2366
1502,505,1060
1503,505,708
1504,506,1475
1505,506,1037
1506,506,5738
1507,506,1660
1508,506,2859
1509,507,2562
1510,507,5528
1511,507,9056
1512,507,4372
1513,508,782
1514,508,7120
1515,508,508
1516,508,6193
1517,509,1643
1518,510,8151
1519,510,4208
1520,510,4025
1521,511,3353
1522,511,7157
1523,511,1621
1524,511,4632
1525,511,7760
1526,511,2113
1527,512,930
1528,512,512
1529,512,2873
1530,512,2240
1531,512,1076
1532,513,6896
1533,513,7330
1534,514,1374
1535,514,8474
1536,515,9169
1537,515,2273
1538,515,967
1539,516,7705
1540,516,1127
1541,517,4100
1542,517,517
1543,517,8553
1544,517,3099
1545,517,614
1546,517,9202
1547,517,2332
1548,518,2385
1549,518,2498
1550,518,7063
1551,519,7347
1552,519,1242
1553,519,811
1554,519,1014
1555,519,1979
1556,520,4682
1557,520,4967
1558,520,750
1559,521,1540
1560,521,6626
1561,521,7527
1562,521,5680
1563,522,6682
1564,522,4716
1565,523,4314
1566,523,7479
1567,523,7623
1568,523,8112
1569,523,7010
1570,524,6696
1571,524,4793
1572,525,2216
1573,525,2129
1574,525,4659
1575,525,690
1576,526,4050
1577,526,3915
1578,526,7104
1579,527,9037
1580,527,4980
1581,527,5966
1582,527,648
1583,527,8413
1584,528,904
1585,529,5960
1586,529,3084
1587,530,2148
1588,530,3006
1589,530,1322
1590,531,8086
1591,531,2080
1592,532,2785
1593,532,3496
1594,533,8339
1595,533,6307
1596,533,3414
1597,533,2188
1598,533,6456
1599,534,3048
1600,534,859
1601,535,3474
1602,535,8261
1603,536,7186
1604,536,690
1605,537,577
1606,537,8794
1607,537,5860
1608,537,3806
1609,537,3036
1610,538,5962
1611,538,3860
1612,539,2850
1613,539,5808
1614,539,4893
1615,539,616
1616,539,5376
1617,540,7687
1618,540,6562
1619,541,4476
1620,541,7281
1621,542,2473
1622,542,2445
1623,542,3486
1624,543,3915
1625,543,3952
1626,544,922
1627,544,2667
1628,545,6963
1629,545,7276
1630,546,2845
1631,546,3858
1632,547,5066
1633,547,3959
1634,548,813
1635,548,4593
1636,549,9080
1637,549,1486
1638,549,2114
1639,550,6024
1640,550,2916
1641,550,1556
1642,551,7579
1643,551,874
1644,551,1176
1645,552,7592
1646,552,1409
1647,553,5849
1648,553,6407
1649,553,662
1650,554,5280
1651,554,2127
1652,555,5055
1653,555,555
1654,556,556
1655,557,3881
1656,557,8363
1657,557,767
1658,557,924
1659,557,7200
1660,558,3619
1661,558,2466
1662,559,2334
1663,559,3616
1664,560,8897
1665,560,8470
1666,560,5315
1667,560,3023
1668,561,4566
1669,561,6918
1670,561,7836
1671,561,5289
1672,562,957
1673,562,4957
1674,563,2402
1675,563,5333
